A,B,result
Computational chemistry,Computational complexity theory,1
Large deviations theory,Number theory,0
Graphical model,Graph theory,1
Unix,GPU,0
"Best, worst and average case",Computer,1
Complexity class,Sequence alignment,0
Computational problem,Python (programming language),0
Concurrency control,Digital electronics,1
Public-key cryptography,Problem solving,1
Random graph,Combinatorics,1
Differential equation,Queue (data structure),0
Atomicity (database systems),Symbol table,0
SQL,Sentiment analysis,0
Computer security,Combinational logic,0
Parsing,Abstraction (computer science),1
C++,Mechanical engineering,0
Question answering,Machine translation,0
Information theory,Logic,0
Prolog,Computer programming,1
Automatic programming,Discrete mathematics,1
Image processing,Data structure,1
Mathematical optimization,Mathematical model,1
Matrix (mathematics),Finite set,0
Gradient descent,Discrete mathematics,1
Speech recognition,Mathematical optimization,1
Interpolation,Sufficient statistic,0
Web browser,Matrix (mathematics),0
Quantum mechanics,Probability,1
Graphical model,Statistics,1
Concurrency (computer science),Operating system,1
Matrix (mathematics),Eigenvalues and eigenvectors,0
Model checking,Virtual reality,0
PSPACE,Finite-state machine,1
Motion capture,Index (database),0
Security,Abstraction (computer science),0
Performance tuning,Cryptography,0
Computer software,Shared memory,0
Quantum computer,Graphics,0
Decision theory,Monad (functional programming),0
Formal verification,Stochastic process,0
Robotics,Programming language,1
Imperative programming,Pattern recognition,0
Graphical user interface,Lexical analysis,0
Software design,Java (programming language),1
User interface,Arithmetic,1
Recursion,Expected value,0
Computability,Multiplication,0
Scientific visualization,Computer graphics,1
Calculus,Robot,0
Relational database,Routing,0
Computation,Autonomous robot,0
Rendering (computer graphics),Image,1
JavaScript,Logic,1
Relational database,Computer programming,1
Computer architecture,Information assurance,0
Inequality (mathematics),Lisp (programming language),0
HTML,Eigenvalues and eigenvectors,0
Object (computer science),Computer science,1
Abstract data type,Statistical inference,0
Support vector machine,Foundations of mathematics,1
Hidden line removal,Iterative method,1
P versus NP problem,Polynomial,1
Relational model,Object (computer science),1
Recursion,Concurrency control,0
Sparse matrix,Variable (computer science),0
Time complexity,Discrete mathematics,1
Mutual exclusion,Quantum mechanics,0
Cryptanalysis,Inequality (mathematics),0
Artificial intelligence,Continuous function,0
Python (programming language),Polynomial,0
Recurrence relation,Discrete mathematics,1
Software engineering,Mathematical induction,1
Suffix tree,Exponential family,0
String searching algorithm,Polynomial,1
Combinational logic,Iterative method,0
Parallel algorithm,Problem solving,1
Model checking,Abstraction (computer science),1
Stack (data structure),Mutual exclusion,0
Scheduling (computing),Asymptotic analysis,0
Support vector machine,List of undecidable problems,0
Server (computing),Pattern matching,0
ML (programming language),Automata theory,1
Haskell (programming language),Computability,1
Computational chemistry,Mathematics,1
Machine learning,Matrix (mathematics),1
Parallel computing,Logic,1
String (computer science),World Wide Web,0
Database,Data,1
Analysis of algorithms,Wireless sensor network,0
MATLAB,Performance tuning,0
Parallel computing,Computer,1
World Wide Web,Computer,1
Iterative method,Algorithm,1
Mathematical optimization,Graph coloring,0
Scripting language,Computing,1
Programming paradigm,Data (computing),1
Pattern matching,Programming language,1
Personal computer,Haskell (programming language),0
Synchronization,Matrix (mathematics),0
Linear programming,Computability,1
Web service,Computer science,1
Neural network,Reason,1
Operating system,Interactivity,0
String searching algorithm,Computer science,1
Random graph,Cryptographic hash function,0
Malware,Computer,1
Communication,Fixed point (mathematics),0
Computer graphics,Digital electronics,1
Atomicity (database systems),Reinforcement learning,0
Computer architecture,Arithmetic,1
Computer,Iterative method,0
Algorithm design,Abstraction (computer science),1
Distributed computing,GPU,0
Generic programming,Procedural programming,0
Shared memory,User interface,0
Machine learning,Data,1
Expert system,Speech recognition,0
Graph (mathematics),Automated planning and scheduling,0
Symbol table,Foundations of mathematics,1
Dynamic memory allocation,Data structure,1
Queue (data structure),Knowledge representation and reasoning,0
Data warehouse,Data structure,1
Scope (computer science),Arithmetic,1
Computational chemistry,Computation,1
Decision theory,Foundations of mathematics,1
Denotational semantics,Computer,1
Database normalization,Object (computer science),1
Numerical analysis,Shared memory,0
Compiler,Context-free language,1
Inter-process communication,Microcode,0
Operating system,Digital electronics,1
Structured programming,Asymptotic analysis,0
Formal methods,Combinatorics,1
Database normalization,Algorithm design,1
B-tree,Computer simulation,0
Recursion,Distributed algorithms,0
Context-free grammar,Transaction processing,0
Vulnerability (computing),Genetic algorithm,0
Cache coherence,Time complexity,1
Hidden line removal,Information theory,0
Operating system,Logic,1
Higher-order function,File system,0
Data mining,Computation,1
Programming style,Data analysis,0
Combinatorics,Debugging,0
Virtual memory,First-order logic,0
Document classification,Computer,1
Motion planning,Randomized algorithm,0
Pattern recognition,Query optimization,0
Bayesian,Algorithm design,0
PSPACE,Computability,1
Data analysis,Algorithm design,0
Feature extraction,Document classification,0
Data,Cache coherence,0
Distributed computing,Integer,1
Theory of computation,Interaction design,0
Variable (computer science),Generic programming,0
Database management system,Data,1
Lexical semantics,Discrete mathematics,0
Bayesian,Conditional probability,1
Signal processing,Index (database),0
Query optimization,Signal processing,0
Microcode,Database normalization,0
Lazy evaluation,Computer security,0
Scheduling (computing),Data structure,0
File system,Central processing unit,1
Linked list,Number theory,1
Tensor,Support vector machine,0
Traffic analysis,Mathematics,1
Decision theory,Iterative method,1
Artificial intelligence,Computer,1
Garbage collection (computer science),Random walk,0
Computer science,Mathematics,1
Quantum computer,Context-free language,0
Python (programming language),Automated planning and scheduling,0
Undecidable problem,Iterative method,1
Graph (mathematics),Round-off error,0
Decision theory,Motion capture,0
Data,Shortest path problem,0
Gradient descent,Computation,1
Digital signature,Computation,1
Compiler optimization,Instruction set,1
Symmetric multiprocessing,Interface (computing),0
hypothesis testing,Memory management,0
Question answering,Computer,1
Programming language,Probability,0
Type system,Formal verification,0
Database management system,Discrete mathematics,1
Recursively enumerable set,Mathematics,1
Parallel algorithm,Polynomial,1
Least squares,Unsupervised learning,0
Data structure,Image analysis,0
Graphical model,Scientific modelling,1
Instruction set,String (computer science),0
ML (programming language),Variable (computer science),1
Pattern recognition,Mathematics,1
Visualization (computer graphics),Analysis of algorithms,0
Conditional probability,Prediction,0
Hidden line removal,Computation,1
Graphical model,Digital electronics,0
Algorithm,Computability,1
Vector processor,Computer science,1
Reinforcement learning,Mathematical optimization,1
Recurrence relation,Iterative method,1
Formal verification,Predicate logic,0
Performance tuning,Distributed computing,0
Document classification,Design pattern (computer science),0
Data mining,Polynomial,1
Software design,Computability,1
Prediction,Artificial intelligence,0
Machine learning,Number theory,1
Graphics,NP-complete,0
Polymorphism (computer science),Random graph,0
Computational chemistry,3D modeling,0
Mathematical induction,Bioinformatics,0
Volume rendering,Least squares,0
Communications protocol,Foundations of mathematics,1
Firewall (computing),Computer security,1
Monad (functional programming),Functional programming,1
Game theory,Probability theory,1
Eigenvalues and eigenvectors,Approximation,0
Computational learning theory,Mathematical induction,0
Index (database),Algorithm design,1
Formal verification,Regular expression,0
Time complexity,Abstraction (computer science),1
Statistics,Interface (computing),0
Profiling (computer programming),Abstraction (computer science),1
Object-oriented programming,Computational science,1
Programming language,Data (computing),1
Graph coloring,Introduction to Algorithms,1
First-order logic,Logic,1
Hidden line removal,Computer science,1
Shortest path problem,Model checking,0
3D computer graphics,Computability,1
Hidden Markov model,Introduction to Algorithms,1
Mathematical optimization,Computation,1
Graphical model,Data,1
Compiler optimization,Computer programming,1
Interactivity,Processor register,0
Rendering (computer graphics),Bioinformatics,0
Automated planning and scheduling,Image,0
High-level programming language,Foundations of mathematics,1
Cryptography,Graph theory,1
Superscalar,Thread (computer science),1
Partial differential equation,Rendering (computer graphics),0
Part-of-speech tagging,Random variable,0
Turing machine,Halting problem,0
Iterative method,Calculus,0
Telecommunications network,Bayesian,0
Object-oriented programming,Number theory,1
JavaScript,Computing,1
Lexical analysis,Computer programming,1
Human-computer interaction,Interface (computing),1
Inter-process communication,Deadlock,0
Fast Fourier transform,Web browser,0
Random graph,Graph (mathematics),1
Probability,Linear system,0
Ray tracing (graphics),Computer programming,1
